,yesNo,fileNames
0,1.0,Y157.JPG
10,1.0,Y85.JPG
11,1.0,Y181.jpg
23,1.0,Y79.jpg
29,1.0,Y4.jpg
31,1.0,Y186.jpg
42,1.0,Y187.jpg
43,1.0,Y1.jpg
45,1.0,Y146.JPG
52,1.0,Y2.jpg
53,1.0,Y147.JPG
56,1.0,Y120.JPG
58,1.0,Y256.JPG
65,1.0,Y257.jpg
66,1.0,Y243.JPG
71,1.0,Y26.jpg
78,1.0,Y23.JPG
80,1.0,Y245.jpg
83,1.0,Y253.JPG
87,1.0,Y20.jpg
93,1.0,Y11.jpg
96,1.0,Y100.JPG
98,1.0,Y102.jpg
99,1.0,Y116.JPG
104,1.0,Y117.JPG
113,1.0,Y106.jpg
123,1.0,Y66.JPG
125,1.0,Y67.JPG
127,1.0,Y188.jpg
128,1.0,Y163.JPG
147,1.0,Y159.JPG
149,1.0,Y167.JPG
150,1.0,Y77.jpg
163,0.0,no 8.jpg
166,0.0,43 no.jpg
167,0.0,20 no.jpg
168,0.0,32 no.jpg
169,0.0,2 no.jpeg
171,0.0,no 99.jpg
182,0.0,No12.jpg
184,0.0,24 no.jpg
186,0.0,10 no.jpg
187,0.0,26 no.jpg
195,0.0,no 100.jpg
199,0.0,no 89.jpg
202,0.0,No19.jpg
210,0.0,no 92.jpg
217,0.0,no 97.jpg
242,0.0,8 no.jpg
244,0.0,N1.JPG
